DR,timestamp,threshold,event,device,nb_ED,seed,objSize,distance,fport,policy
ALL,12.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,BASELINE
ALL,17.308480010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,BASELINE
ALL,22.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,BASELINE
ALL,27.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,BASELINE
ALL,72.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,BASELINE
ALL,77.308480010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,BASELINE
ALL,82.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,BASELINE
ALL,87.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,BASELINE
ALL,132.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,BASELINE
ALL,137.308480010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,BASELINE
ALL,142.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,BASELINE
ALL,147.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,BASELINE
ALL,192.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,BASELINE
ALL,197.308480010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,BASELINE
ALL,202.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,BASELINE
ALL,207.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,BASELINE
ALL,252.427008010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,BASELINE
ALL,257.308480010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,BASELINE
ALL,262.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,BASELINE
ALL,267.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,BASELINE
ALL,311.350217740,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,28,BASELINE
ALL,311.350217740,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,202,BASELINE
ALL,318.365257740,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,28,BASELINE
ALL,318.365257740,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,202,BASELINE
ALL,321.890624010,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,29,BASELINE
ALL,322.550912010,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,BASELINE
ALL,327.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,BASELINE
ALL,328.728064010,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,29,BASELINE
ALL,381.659465740,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,28,BASELINE
ALL,381.659465740,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,202,BASELINE
ALL,385.250761710,2000,TX,0110110|0000000000000011101001001,4,1,2000,0,29,BASELINE
ALL,385.250761710,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,204,BASELINE
ALL,387.344576010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,BASELINE
ALL,391.134592020,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,29,BASELINE
ALL,412.154761700,2000,TX,0110110|0000000000000011101001010,4,1,2000,0,29,BASELINE
ALL,412.154761700,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,204,BASELINE
ALL,446.185353740,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,28,BASELINE
ALL,446.185353740,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,202,BASELINE
ALL,454.597897720,2000,TX,0110110|0000000000000011101001000,4,1,2000,0,29,BASELINE
ALL,454.597897720,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,204,BASELINE
ALL,455.495104010,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,29,BASELINE
ALL,516.670217710,2000,TX,0110110|0000000000000011101001011,4,1,2000,0,29,BASELINE
ALL,516.670217710,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,204,BASELINE
ALL,612.466825964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,612.466825964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,612.466825964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,612.466825964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,633.184393964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,633.184393964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,633.184393964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,633.184393964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,653.901961964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,653.901961964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,653.901961964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,653.901961964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,674.619529964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,674.619529964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,674.619529964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,674.619529964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,695.337097964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,695.337097964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,695.337097964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,695.337097964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
