addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:CD:7C,TX,1731767763.177,1731767763.550,867300000,21,2,
00:80:E1:15:05:AB:CD:7C,TX,1731767823.183,1731767823.515,867500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731767883.189,1731767883.521,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731767943.195,1731767943.527,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731768003.201,1731768003.533,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768003.201,1731768005.074,868100000,0,2,
00:80:E1:15:05:AB:CD:7C,TX,1731768005.088,1731768005.420,868300000,15,2,
00:80:E1:15:05:AB:CD:7C,TX,1731768063.206,1731768063.538,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768063.206,1731768064.915,867900000,0,2,
00:80:E1:15:05:AB:CD:7C,TX,1731768068.808,1731768069.140,867900000,15,2,
00:80:E1:15:05:AB:CD:7C,TX,1731768123.212,1731768123.544,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768123.212,1731768124.921,867300000,0,2,
00:80:E1:15:05:AB:CD:7C,TX,1731768124.929,1731768125.261,867500000,18,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768392.940,1731768394.316,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768394.324,1731768400.340,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768400.348,1731768407.370,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768407.378,1731768413.397,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768413.404,1731768419.424,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768419.432,1731768425.452,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768425.459,1731768432.485,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768432.492,1731768438.511,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768438.519,1731768444.540,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768444.548,1731768450.570,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768450.578,1731768457.602,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768457.610,1731768463.630,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768463.638,1731768469.661,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768469.669,1731768475.689,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768475.696,1731768482.717,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768482.724,1731768488.742,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768488.749,1731768494.766,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768494.773,1731768500.796,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768500.803,1731768507.827,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768507.834,1731768513.846,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768513.854,1731768519.872,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768519.880,1731768525.904,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768525.911,1731768532.935,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768532.943,1731768538.961,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768538.969,1731768544.992,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768544.999,1731768551.021,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768551.029,1731768558.052,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768558.060,1731768564.078,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768564.085,1731768570.095,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768570.103,1731768576.124,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768576.132,1731768583.154,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768583.161,1731768589.183,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768589.191,1731768595.208,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768595.216,1731768602.238,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768602.245,1731768608.265,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768608.273,1731768614.289,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768614.297,1731768620.314,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768620.322,1731768627.340,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768627.348,1731768633.365,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768633.372,1731768639.391,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768639.399,1731768645.414,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768645.422,1731768652.442,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768652.450,1731768658.468,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768658.476,1731768664.493,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768664.500,1731768670.520,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768670.527,1731768677.547,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768677.555,1731768683.573,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768683.580,1731768689.605,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768689.613,1731768695.634,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768695.642,1731768702.666,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768702.674,1731768708.691,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768708.699,1731768714.721,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,TX,1731767749.912,1731767749.971,868500000,21,5,
