addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:CD:7C,TX,1731772840.473,1731772840.847,868500000,21,2,
00:80:E1:15:05:AB:CD:7C,TX,1731772900.479,1731772900.811,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731772960.485,1731772960.817,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773020.491,1731773020.823,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773080.497,1731773080.829,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773140.503,1731773140.835,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773200.509,1731773200.841,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773260.514,1731773260.847,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773320.520,1731773320.852,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773380.526,1731773380.858,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773440.532,1731773440.864,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773500.538,1731773500.870,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773560.544,1731773560.876,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773620.550,1731773620.882,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773680.555,1731773680.888,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773740.561,1731773740.893,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773800.567,1731773800.899,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773860.573,1731773860.905,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773920.579,1731773920.911,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731773980.585,1731773980.917,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774040.591,1731774040.923,867500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774100.597,1731774100.929,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774160.602,1731774160.934,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774220.608,1731774220.940,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774280.614,1731774280.946,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774340.620,1731774340.952,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774400.626,1731774400.958,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774460.632,1731774460.964,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774520.638,1731774520.970,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774580.643,1731774580.975,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774640.649,1731774640.981,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774700.655,1731774700.987,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774760.661,1731774760.993,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774820.667,1731774820.999,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774880.673,1731774881.005,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731774940.679,1731774941.011,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731775000.684,1731775001.016,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731775060.690,1731775061.022,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731775120.696,1731775121.028,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731775180.702,1731775181.034,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731775240.708,1731775241.040,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731775300.714,1731775301.046,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731775360.720,1731775361.052,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731775420.725,1731775421.057,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731775480.731,1731775481.063,867700000,18,2,
