addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:D0:6C,TX,1733748619.526,1733748619.585,868300000,21,5,
00:80:E1:15:05:AB:D0:6C,TX,1733748679.532,1733748679.586,867700000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1733748739.538,1733748739.592,868100000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1733748799.544,1733748799.598,867500000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1733748859.550,1733748859.604,867700000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1733748859.550,1733748860.691,867700000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1733748860.708,1733748860.757,868500000,15,5,
00:80:E1:15:05:AB:D0:6C,TX,1733748919.556,1733748919.609,867300000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1733748919.556,1733748920.672,867300000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1733748924.561,1733748924.609,868300000,15,5,
00:80:E1:15:05:AB:D0:6C,RX,1733748924.561,1733748925.672,868300000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1733748925.679,1733748925.732,868500000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1733749224.689,1733749228.793,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749228.800,1733749243.458,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749243.463,1733749249.841,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749249.849,1733749269.889,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749269.896,1733749290.954,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749290.962,1733749312.090,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749312.098,1733749332.145,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749332.153,1733749353.198,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749353.206,1733749374.267,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749374.274,1733749394.427,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749394.435,1733749399.465,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749399.470,1733749415.480,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749415.488,1733749436.540,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749436.548,1733749456.603,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749456.610,1733749477.756,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749477.763,1733749497.831,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749497.840,1733749518.880,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749518.887,1733749539.946,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749539.953,1733749560.090,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749560.098,1733749581.187,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749581.195,1733749602.237,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749602.245,1733749622.288,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749622.296,1733749643.359,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749643.367,1733749663.498,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749663.506,1733749684.562,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749684.569,1733749688.941,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749688.946,1733749705.604,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749705.611,1733749725.668,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749725.676,1733749746.825,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749746.833,1733749767.883,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749767.892,1733749787.937,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733749787.944,1733749809.004,869525000,0,0,
