addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:CD:7C,TX,1731782002.205,1731782002.578,868100000,21,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782062.211,1731782062.543,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782122.217,1731782122.549,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782182.223,1731782182.555,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782242.228,1731782242.560,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782302.234,1731782302.566,867500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782362.240,1731782362.572,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782422.246,1731782422.578,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782482.252,1731782482.584,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782542.258,1731782542.590,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782602.264,1731782602.596,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782662.269,1731782662.602,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782722.275,1731782722.607,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782782.281,1731782782.613,867500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782842.287,1731782842.619,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782902.293,1731782902.625,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731782962.299,1731782962.631,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731783022.305,1731783022.637,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731783082.310,1731783082.643,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731783142.316,1731783142.648,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1731783202.322,1731783202.654,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783202.322,1731783204.195,867300000,0,2,
00:80:E1:15:05:AB:CD:7C,TX,1731783204.212,1731783204.544,867700000,15,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783204.212,1731783205.922,867700000,0,2,
00:80:E1:15:05:AB:CD:7C,TX,1731783209.813,1731783210.145,868500000,15,2,
00:80:E1:15:05:AB:CD:7C,TX,1731783262.328,1731783262.660,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783262.328,1731783264.037,867300000,0,2,
00:80:E1:15:05:AB:CD:7C,TX,1731783264.045,1731783264.377,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783524.056,1731783526.692,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783526.700,1731783533.719,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783533.727,1731783539.742,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783539.749,1731783545.768,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783545.775,1731783551.788,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783551.796,1731783558.808,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783558.815,1731783564.836,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783564.844,1731783570.866,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783570.874,1731783576.900,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783576.908,1731783583.922,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783583.929,1731783589.950,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783589.958,1731783595.977,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783595.985,1731783602.001,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783602.008,1731783609.030,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783609.039,1731783615.057,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783615.064,1731783621.089,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783621.097,1731783628.103,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783628.112,1731783634.132,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783634.140,1731783640.146,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783640.154,1731783646.169,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783646.177,1731783653.197,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783653.204,1731783659.222,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783659.229,1731783665.245,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783665.254,1731783671.274,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783671.282,1731783678.304,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783678.311,1731783684.329,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783684.337,1731783690.358,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783690.366,1731783696.389,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783696.396,1731783703.419,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783703.427,1731783709.435,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783709.442,1731783715.459,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783715.467,1731783721.485,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783721.493,1731783728.514,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783728.522,1731783734.545,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783734.553,1731783740.571,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783740.580,1731783746.598,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783746.605,1731783753.624,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783753.633,1731783759.648,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783759.656,1731783765.665,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783765.673,1731783771.690,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783771.698,1731783778.722,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783778.729,1731783784.749,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783784.757,1731783790.779,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783790.787,1731783797.809,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783797.817,1731783803.839,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783803.847,1731783809.865,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783809.873,1731783815.893,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783815.901,1731783822.922,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783822.931,1731783828.947,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783828.955,1731783834.973,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783834.980,1731783841.002,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731783841.010,1731783848.023,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,TX,1731781992.284,1731781992.343,868300000,21,5,
00:80:E1:15:05:AB:D0:6C,TX,1731782052.290,1731782052.344,868300000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731782112.296,1731782112.349,867700000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731782172.302,1731782172.355,867900000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731782232.307,1731782232.361,867500000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731782292.313,1731782292.367,867700000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1731782292.313,1731782293.455,867700000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1731782293.471,1731782293.520,868500000,15,5,
00:80:E1:15:05:AB:D0:6C,RX,1731782293.471,1731782294.583,868500000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1731782298.471,1731782298.519,867300000,15,5,
00:80:E1:15:05:AB:D0:6C,RX,1731782298.471,1731782299.583,867300000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1731782299.590,1731782299.643,868300000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1731782598.600,1731782601.138,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1731782601.149,1731782605.167,869525000,0,5,
