DR,timestamp,threshold,event,device,nb_ED,seed,objSize,distance,fport,policy
0,12.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,42.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,72.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,102.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,132.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,162.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,192.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,222.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,252.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,282.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,311.102912400,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
0,311.102912400,,RX,0110110|0000000000000011101001000,1,1,2000,0,202,FIXED_BY_USER
0,317.947392360,,TX,0110110|0000000000000011101001000,1,1,2000,0,29,FIXED_BY_USER
0,317.947392360,,RX,0110110|0000000000000011101001000,1,1,2000,0,204,FIXED_BY_USER
0,612.348288624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,633.065856624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,653.783424624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,674.500992624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,695.218560624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,715.936128624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,736.653696624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,757.371264624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,778.088832624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,798.806400624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,819.523968624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,840.241536624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,860.959104624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,881.676672624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
