addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:D0:6C,TX,1731699146.578,1731699146.636,867900000,21,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699176.583,1731699176.637,867900000,18,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699206.589,1731699206.643,867300000,18,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699236.595,1731699236.649,867500000,18,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699266.601,1731699266.655,867100000,18,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699296.607,1731699296.661,867100000,18,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699326.613,1731699326.666,868100000,18,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699356.619,1731699356.672,868500000,18,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699386.624,1731699386.678,867700000,18,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699416.630,1731699416.684,867900000,18,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699446.636,1731699446.690,867300000,18,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699446.636,1731699447.778,867300000,0,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699447.792,1731699447.841,867500000,15,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699447.792,1731699448.904,867500000,0,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699452.792,1731699452.841,867100000,15,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699452.792,1731699453.904,867100000,0,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731699453.911,1731699453.964,867100000,18,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699752.921,1731699755.280,869525000,0,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699755.291,1731699759.293,869525000,0,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699759.305,1731699764.307,869525000,0,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699764.319,1731699769.329,869525000,0,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699769.342,1731699773.350,869525000,0,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699773.362,1731699778.371,869525000,0,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699778.383,1731699783.385,869525000,0,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699783.397,1731699787.406,869525000,0,5,1
00:80:E1:15:05:AB:D0:6C,RX,1731699787.417,1731699792.430,869525000,0,5,1
00:80:E1:15:05:AB:D0:6C,TX,1731919944.248,1731919944.306,868300000,21,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731919974.254,1731919974.307,868300000,18,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920004.260,1731920004.313,867900000,18,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920034.265,1731920034.319,867900000,18,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920064.271,1731920064.325,867300000,18,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920094.277,1731920094.331,867500000,18,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920124.283,1731920124.337,868500000,18,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920154.289,1731920154.343,867300000,18,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920184.295,1731920184.348,868300000,18,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920214.301,1731920214.354,868500000,18,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920244.306,1731920244.360,867700000,18,5,2
00:80:E1:15:05:AB:D0:6C,RX,1731920244.306,1731920245.448,867700000,0,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920245.463,1731920245.512,867900000,15,5,2
00:80:E1:15:05:AB:D0:6C,RX,1731920245.463,1731920246.574,867900000,0,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920250.464,1731920250.512,867300000,15,5,2
00:80:E1:15:05:AB:D0:6C,RX,1731920250.464,1731920251.575,867300000,0,5,2
00:80:E1:15:05:AB:D0:6C,TX,1731920251.582,1731920251.636,867500000,18,5,2
00:80:E1:15:05:AB:D0:6C,RX,1731920550.593,1731920553.007,869525000,0,5,2
