layerSize,device,timestamp,value
8,1,0.1,27.000904083251953
8,1,0.2,4837.0361328125
8,1,1.1,3850.9368896484375
8,1,18.2,4257.2021484375
8,1,52.6,3830.9097290039062
8,1,53.0,4165.6494140625
8,1,89.9,3833.770751953125
8,1,99.4,4196.1669921875
8,1,123.7,3850.9368896484375
8,1,148.9,4180.908203125
8,1,152.5,3841.400146484375
8,1,157.5,4196.1669921875
8,1,175.7,3861.4273071289062
8,1,197.9,4180.908203125
8,1,204.0,3844.2611694335938
8,1,204.4,4211.42578125
8,1,205.0,3814.697265625
8,1,230.2,4196.1669921875
8,1,250.5,3849.9832153320312
8,1,255.9,4241.943359375
8,1,270.1,3837.58544921875
8,1,278.1,4196.1669921875
8,1,279.7,3849.9832153320312
8,1,282.2,4196.1669921875
8,1,288.8,3845.21484375
8,1,297.3,4165.6494140625
8,1,322.6,3842.3538208007812
8,1,354.8,4180.908203125
8,1,357.9,3828.0487060546875
8,1,358.8,4180.908203125
8,1,358.9,3839.4927978515625
8,1,360.8,4180.908203125
8,1,368.0,3853.7979125976562
8,1,415.9,4180.908203125
8,1,420.5,3844.2611694335938
8,1,432.6,4196.1669921875
8,1,433.7,3833.770751953125
8,1,467.4,4180.908203125
8,1,468.0,3824.2340087890625
8,1,468.4,4165.6494140625
8,1,485.7,3831.8634033203125
8,1,493.6,4196.1669921875
8,1,534.6,3837.58544921875
8,1,547.1,4241.943359375
8,1,585.1,3817.5582885742188
8,1,588.6,4180.908203125
8,1,598.7,3846.1685180664062
8,1,606.2,4180.908203125
8,1,614.9,3829.9560546875
8,1,656.8,4150.390625
8,1,656.9,3820.4193115234375
8,1,661.9,4180.908203125
8,1,689.7,3827.0950317382812
8,1,722.4,4180.908203125
8,1,739.1,3863.3346557617188
8,1,739.6,4180.908203125
8,1,741.2,3803.253173828125
8,1,773.4,4196.1669921875
8,1,775.5,3847.1221923828125
8,1,782.5,4180.908203125
8,1,786.1,3866.1956787109375
8,1,810.8,4180.908203125
8,1,842.7,3874.7787475585938
8,1,844.2,4241.943359375
8,1,851.3,3841.400146484375
8,1,867.9,4241.943359375
8,1,876.6,3843.3074951171875
8,1,877.5,4165.6494140625
8,1,893.7,3837.58544921875
8,1,924.0,4196.1669921875
8,1,927.1,3824.2340087890625
8,1,927.5,4165.6494140625
8,1,960.9,3836.6317749023438
8,1,995.3,4211.42578125
8,1,1001.9,3842.3538208007812
8,1,1046.3,4196.1669921875
8,1,1070.5,3842.3538208007812
8,1,1071.9,4211.42578125
8,1,1072.5,3832.8170776367188
8,1,1073.9,4211.42578125
8,1,1080.6,3877.6397705078125
8,1,1086.6,4180.908203125
8,1,1087.2,3865.2420043945312
8,1,1087.6,4150.390625
8,1,1097.3,3843.3074951171875
8,1,1115.8,4150.390625
8,1,1116.9,3866.1956787109375
8,1,1117.9,4211.42578125
8,1,1148.3,3838.5391235351562
8,1,1176.9,4211.42578125
8,1,1182.6,3825.1876831054688
8,1,1188.6,4180.908203125
8,1,1218.9,3838.5391235351562
8,1,1228.4,4226.6845703125
8,1,1270.4,3835.6781005859375
8,1,1270.8,4180.908203125
8,1,1271.4,3841.400146484375
8,1,1300.1,4165.6494140625
8,1,1301.7,3796.5774536132812
8,1,1331.4,4226.6845703125
8,1,1331.5,3850.9368896484375
8,1,1335.5,4180.908203125
8,1,1342.6,3866.1956787109375
8,1,1343.1,4180.908203125
8,1,1343.3,3887.176513671875
8,1,1343.6,4180.908203125
8,1,1375.4,3887.176513671875
8,1,1382.9,4257.2021484375
8,1,1384.0,3849.9832153320312
8,1,1406.6,4196.1669921875
8,1,1428.4,3868.10302734375
8,1,1432.4,4226.6845703125
8,1,1434.5,3857.6126098632812
8,1,1464.1,4196.1669921875
8,1,1464.2,3863.3346557617188
8,1,1466.1,4196.1669921875
8,1,1469.3,3877.6397705078125
8,1,1500.0,4180.908203125
8,1,1526.8,3857.6126098632812
8,1,1528.8,4196.1669921875
8,1,1566.7,3825.1876831054688
8,1,1569.1,4196.1669921875
8,1,1573.3,3874.7787475585938
8,1,1586.8,4180.908203125
8,1,1601.5,3822.32666015625
8,1,1618.6,4226.6845703125
8,1,1619.2,3863.3346557617188
8,1,1620.6,4226.6845703125
8,1,1629.8,3855.7052612304688
8,1,1669.1,4180.908203125
8,1,1681.3,3830.9097290039062
8,1,1685.2,4165.6494140625
8,1,1695.9,3845.21484375
8,1,1713.5,4180.908203125
8,1,1715.1,3858.5662841796875
8,1,1723.6,4196.1669921875
8,1,1766.1,3861.4273071289062
8,1,1775.1,4241.943359375
8,1,1782.7,3841.400146484375
8,1,1788.7,4180.908203125
8,1,1792.8,3872.8713989257812
8,1,1818.0,4180.908203125
8,1,1828.1,3854.7515869140625
8,1,1831.6,4196.1669921875
8,1,1834.2,3838.5391235351562
8,1,1880.0,4180.908203125
8,1,1892.8,3852.84423828125
8,1,1910.9,4180.908203125
8,1,1911.5,3853.7979125976562
8,1,1935.6,4226.6845703125
8,1,1946.8,3816.6046142578125
8,1,1953.3,4180.908203125
8,1,1983.6,3832.8170776367188
8,1,2008.8,4196.1669921875
8,1,2009.9,3848.0758666992188
8,1,2010.8,4180.908203125
8,1,2010.9,3845.21484375
8,1,2066.3,4241.943359375
8,1,2105.9,3817.5582885742188
8,1,2131.6,4241.943359375
8,1,2134.7,3841.400146484375
8,1,2136.7,4180.908203125
8,1,2152.8,3855.7052612304688
8,1,2175.5,4196.1669921875
8,1,2178.6,3876.6860961914062
8,1,2183.1,4241.943359375
8,1,2205.3,3833.770751953125
8,1,2216.9,4196.1669921875
8,1,2218.5,3857.6126098632812
8,1,2247.6,4196.1669921875
8,1,2263.4,3849.9832153320312
8,1,2289.0,4196.1669921875
8,1,2290.6,3831.8634033203125
8,1,2317.4,4211.42578125
8,1,2328.1,3849.9832153320312
8,1,2337.6,4211.42578125
8,1,2351.9,3846.1685180664062
8,1,2387.1,4241.943359375
8,1,2390.2,3840.4464721679688
8,1,2395.7,4196.1669921875
8,1,2409.9,3849.9832153320312
8,1,2411.8,4180.908203125
8,1,2412.9,3834.7244262695312
8,1,2440.6,4241.943359375
8,1,2474.0,3817.5582885742188
8,1,2490.1,4241.943359375
8,1,2492.7,3867.1493530273438
8,1,2516.8,4180.908203125
8,1,2526.0,3857.6126098632812
8,1,2526.4,4180.908203125
8,1,2537.6,3855.7052612304688
8,1,2541.6,4196.1669921875
8,1,2560.3,3829.9560546875
8,1,2573.3,4211.42578125
8,1,2588.1,3835.6781005859375
8,1,2611.2,4180.908203125
8,1,2638.6,3842.3538208007812
8,1,2653.1,4180.908203125
8,1,2673.9,3846.1685180664062
8,1,2690.0,4196.1669921875
8,1,2721.3,3860.4736328125
8,1,2727.3,4165.6494140625
8,1,2727.4,3872.8713989257812
8,1,2729.8,4211.42578125
8,1,2744.5,3851.8905639648438
8,1,2755.6,4226.6845703125
8,1,2772.3,3851.8905639648438
8,1,2781.3,4226.6845703125
8,1,2781.4,3869.0567016601562
8,1,2784.9,4196.1669921875
8,1,2790.0,3840.4464721679688
8,1,2810.6,4180.908203125
8,1,2815.3,3839.4927978515625
8,1,2816.2,4165.6494140625
8,1,2819.3,3833.770751953125
8,1,2828.8,4180.908203125
8,1,2879.4,3841.400146484375
8,1,2880.3,4165.6494140625
8,1,2896.1,3853.7979125976562
8,1,2927.8,4165.6494140625
8,1,2932.4,3834.7244262695312
8,1,2985.3,4241.943359375
8,1,2990.5,3873.8250732421875
8,1,3001.1,4226.6845703125
8,1,3004.2,3837.58544921875
8,1,3024.9,4211.42578125
